"none","price","battery1","battery2","battery3","battery4","weight1","weight2","weight3","sound1","sound2","sound3"
-12.4370427598246,-0.561689851118704,-1.65886555729951,-0.201509611478245,0.188451989475943,0.553755695591631,0.737699080350149,0.238116196409267,-0.0934294302022583,-3.08332679717865,-0.432423470055535,0.901087486115041
-12.4982361646817,-0.644911408252741,-0.740849314410329,-0.204692884842389,0.211880361967405,0.553424972833976,0.451693926535305,0.158744299776069,0.0401641746363285,-2.83796128144674,-0.388242997095562,0.971332590186337
-10.5555664473437,-0.0516953325740327,-1.34625158308423,-0.192646453878001,0.20960732095208,0.583471080633903,0.729107655985569,0.330825436112662,-0.0216974112527277,-3.44740578861865,-0.806736449917127,0.895339983704362
-5.12632366086833,-0.362175507801277,-1.34818891092634,-0.257458819681897,0.207682437862896,0.516700130594187,0.683342683234323,0.496832563024041,0.024838804759892,-2.91991030682906,-0.84537236846884,1.00411651692091
-13.2687279305161,-0.741941181649396,-1.63321396525495,-0.199836323802267,0.157626266055178,0.558287596386278,1.06320111523278,0.219691072012312,-0.112315259890577,-1.47410265097028,-0.279860732740234,0.918509644968913
0.454710159504578,-0.218354035178604,-1.63716750582396,-0.261592017437137,0.23879258168862,0.680289406881126,0.879587538753971,0.33523655985096,-0.235111102578887,-0.879640677093847,-0.29304641136835,0.862697422106123
-6.71067001538442,-1.09464170041574,-1.35418555601775,-0.178207496428452,0.141386998417898,0.559615469525408,1.08475582202569,0.21216905774522,-0.0282893985597218,-1.79948260270461,-0.214212998726864,0.980419438364158
-6.89458211617418,-0.704055198668913,-1.7866764952483,-0.22788856505752,0.11987642929584,0.538256737068798,0.506642989221931,0.199457463872881,-0.0457514384290522,-3.74310484521375,-0.725217615995615,0.832752983376787
-10.5944732356005,-0.277330801570579,-1.1132154490795,-0.207430745270777,0.145067910526535,0.594829683494677,0.429357852267274,0.0310373119386141,-0.0984687332230076,-4.07649512263762,-0.837611643970341,0.851071655876822
-13.1444887099517,-0.632920132989165,-0.541520525222385,-0.203352355601291,0.137005924203691,0.563169787081649,0.955654964088479,0.185211726421251,-0.0464521161166951,-0.818934294117571,-0.578844032114322,0.965737477463355
