"","id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
"548",1797,0,1,0,1,0,0,1,0,0,1,0,2,2,2,2,2,4,5,5,4,5,20,30,30,20,1,"female",3,"25-29","France",1,"Employed",4,"Graduate",5,"2001-2500€"
"550",1799,1,0,0,0,0,0,0,0,0,1,0,5,5,3,3,4,5,4,4,3,5,90,5,5,0,1,"female",3,"25-29","Denmark",3,"Student",3,"Undergraduate",3,"1001-1500€"
"551",1800,0,1,0,1,1,1,1,0,0,1,0,3,2,2,3,3,5,6,5,6,6,30,10,30,30,1,"female",3,"25-29","France",4,"Unemployed",4,"Graduate",2,"501-1000€"
"553",1803,0,1,0,1,1,0,1,0,0,1,0,7,6,6,6,6,7,6,5,5,5,25,25,25,25,2,"male",5,"35-39","France",1,"Employed",4,"Graduate",4,"1501-2000€"
"554",1804,0,1,0,0,1,0,0,0,0,0,0,4,4,3,5,3,4,4,4,3,4,10,5,10,75,1,"female",5,"35-39","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"556",1814,0,0,0,1,0,0,1,0,0,1,0,2,2,1,3,3,2,2,2,2,4,10,10,40,40,1,"female",1,"<18","Germany",3,"Student",1,"Less than high school",1,"<500€"
"559",1820,0,0,0,1,1,0,1,0,0,1,0,2,2,1,2,1,4,3,3,3,2,30,20,40,10,1,"female",6,"40-44","France",1,"Employed",4,"Graduate",7,">=3001€"
"563",1826,0,1,0,1,0,0,1,0,0,1,0,5,6,5,5,6,3,3,3,3,3,20,0,50,30,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",1,"<500€"
"566",1829,1,0,0,1,0,0,1,0,0,0,0,4,4,2,5,5,5,5,5,4,4,20,10,40,30,2,"male",8,">=50","Germany",2,"Self-employed",3,"Undergraduate",7,">=3001€"
"568",1833,0,1,0,1,1,0,1,1,0,1,0,2,6,3,3,2,5,5,5,5,5,30,10,40,20,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",3,"1001-1500€"
