"","none","price","battery1","battery2","battery3","battery4","weight1","weight2","weight3","sound1","sound2","sound3"
"full",-10.6699009076141,-0.5170462400149,-2.01444443158877,-0.926274394456482,-0.603548318270198,-0.251416829082646,1.05749390736949,0.726739185225534,0.433453402573551,-4.52831254531297,-2.31233621634338,-0.97136113845735
"1",-14.7593068090458,-0.426310774014112,-3.74243034173498,-1.90858373660966,-1.31286205164999,-0.862468661272307,1.01498712110011,0.575635239415577,0.319701663076584,-8.41921166303485,-5.01560707435006,-2.20033641969507
"2",-12.4403680097096,-1.00533214769599,-0.23447507138153,0.281439786776558,0.47482466319594,0.784842847284344,1.14298829295083,0.488557060321709,0.430895899239465,-7.20595534954981,-3.00109993499911,-1.17658127533868
"3",-6.63933014198164,-0.461885501296951,-1.15975500509089,-0.592608418417239,-0.144377790133693,-0.143289136368736,4.2173679591708,2.94479267187808,2.26485632632826,-3.69476363969507,-1.47184483360605,-0.819556372521214
"4",-10.7542318032184,-0.596986788755532,-2.97717478697822,-1.46770828542457,-1.04363146270397,-0.527703155364944,0.556373236932686,0.606436640946378,0.169258600939618,-1.18447648172312,-0.522177313465833,-0.0952974233457868
