"","id","cs","alt","choice","none","price","battery1","battery2","battery3","battery4","weight1","weight2","weight3","sound1","sound2","sound3"
"171",12,7,3,0,0,90,0,0,0,1,1,0,0,0,1,0
"172",12,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"173",12,8,1,0,0,130,-1,-1,-1,-1,1,0,0,0,1,0
"174",12,8,2,1,0,90,-1,-1,-1,-1,0,0,1,-1,-1,-1
"175",12,8,3,0,0,150,0,0,0,1,-1,-1,-1,0,0,1
"176",12,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"177",12,9,1,1,0,70,0,0,1,0,0,0,1,0,1,0
"178",12,9,2,0,0,130,0,1,0,0,1,0,0,-1,-1,-1
"179",12,9,3,0,0,90,1,0,0,0,0,1,0,0,0,1
"180",12,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"181",12,10,1,0,0,70,0,0,0,1,-1,-1,-1,1,0,0
"182",12,10,2,1,0,90,-1,-1,-1,-1,-1,-1,-1,0,0,1
"183",12,10,3,0,0,130,1,0,0,0,0,0,1,1,0,0
"184",12,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"185",12,11,1,0,0,150,0,1,0,0,1,0,0,-1,-1,-1
"186",12,11,2,0,0,150,0,0,1,0,-1,-1,-1,0,1,0
"187",12,11,3,1,0,110,1,0,0,0,0,1,0,-1,-1,-1
"188",12,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"189",12,12,1,1,0,90,0,1,0,0,0,0,1,0,1,0
"190",12,12,2,0,0,110,0,0,0,1,0,1,0,1,0,0
"191",12,12,3,0,0,150,-1,-1,-1,-1,1,0,0,0,0,1
"192",12,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"193",14,1,1,0,0,110,1,0,0,0,-1,-1,-1,-1,-1,-1
"194",14,1,2,1,0,150,0,0,0,1,0,0,1,0,0,1
"195",14,1,3,0,0,70,0,1,0,0,0,1,0,1,0,0
"196",14,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"197",14,2,1,1,0,130,0,0,1,0,0,1,0,-1,-1,-1
"198",14,2,2,0,0,110,-1,-1,-1,-1,0,0,1,0,1,0
"199",14,2,3,0,0,90,1,0,0,0,1,0,0,1,0,0
"200",14,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"201",14,3,1,1,0,110,0,1,0,0,1,0,0,0,0,1
"202",14,3,2,0,0,90,1,0,0,0,-1,-1,-1,0,1,0
"203",14,3,3,0,0,70,-1,-1,-1,-1,1,0,0,0,1,0
"204",14,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"205",14,4,1,0,0,130,0,0,0,1,-1,-1,-1,0,0,1
