"id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
378,0,0,0,0,0,0,0,0,0,0,1,5,5,2,4,4,1,2,1,1,2,4,0,90,6,1,"female",2,"18-24","Germany",1,"Employed",3,"Undergraduate",3,"1001-1500€"
382,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,3,4,3,4,3,30,0,70,0,2,"male",8,">=50","Germany",2,"Self-employed",4,"Graduate",5,"2001-2500€"
387,1,0,0,1,1,0,1,1,0,1,0,5,5,5,5,5,4,5,4,4,3,10,20,30,40,2,"male",3,"25-29","Netherlands",3,"Student",3,"Undergraduate",3,"1001-1500€"
392,0,1,1,1,0,0,0,1,0,0,0,5,3,1,3,5,5,5,5,5,5,20,5,25,50,2,"male",4,"30-34","Turkey",1,"Employed",4,"Graduate",3,"1001-1500€"
393,1,0,0,1,1,1,1,0,0,0,0,5,2,5,6,6,5,5,5,5,5,30,10,10,50,2,"male",8,">=50","Germany",1,"Employed",5,"Other",8,"rather not say"
403,0,1,1,1,1,0,1,0,0,0,0,7,7,6,7,7,6,4,6,5,5,30,0,0,70,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",1,"<500€"
415,0,0,0,0,0,1,1,0,0,0,0,5,5,1,5,3,5,5,5,5,5,25,5,30,40,2,"male",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
417,0,0,0,1,0,0,0,0,0,0,0,3,3,2,3,2,2,6,5,3,6,5,5,40,50,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
418,0,1,0,1,1,0,0,0,0,0,0,4,3,3,3,2,2,6,6,7,7,25,15,35,25,1,"female",2,"18-24","France",3,"Student",3,"Undergraduate",1,"<500€"
431,0,0,1,1,1,1,1,1,1,1,0,6,6,5,7,6,5,4,4,4,4,10,0,30,60,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
