"id","cs","alt","choice","none","price","battery1","battery2","battery3","battery4","weight1","weight2","weight3","sound1","sound2","sound3"
11,1,1,0,0,7,0,1,0,0,1,0,0,0,0,1
11,1,2,0,0,15,1,0,0,0,0,0,1,1,0,0
11,1,3,1,0,11,0,0,1,0,1,0,0,-1,-1,-1
11,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2,1,0,0,7,0,1,0,0,0,1,0,1,0,0
11,2,2,0,0,9,-1,-1,-1,-1,-1,-1,-1,0,1,0
11,2,3,1,0,13,-1,-1,-1,-1,0,0,1,-1,-1,-1
11,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,3,1,1,0,7,0,0,0,1,1,0,0,0,0,1
11,3,2,0,0,9,0,0,1,0,-1,-1,-1,-1,-1,-1
11,3,3,0,0,13,0,1,0,0,0,1,0,0,0,1
11,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,4,1,1,0,9,0,0,1,0,0,0,1,0,0,1
11,4,2,0,0,11,1,0,0,0,1,0,0,0,1,0
11,4,3,0,0,15,0,0,0,1,-1,-1,-1,-1,-1,-1
11,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,5,1,1,0,7,-1,-1,-1,-1,0,0,1,0,1,0
11,5,2,0,0,13,0,0,1,0,-1,-1,-1,0,0,1
11,5,3,0,0,11,0,0,0,1,1,0,0,1,0,0
11,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,6,1,1,0,11,-1,-1,-1,-1,0,1,0,-1,-1,-1
11,6,2,0,0,13,1,0,0,0,1,0,0,1,0,0
11,6,3,0,0,9,0,1,0,0,0,0,1,0,0,1
11,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,7,1,0,0,15,1,0,0,0,0,0,1,-1,-1,-1
11,7,2,1,0,11,0,1,0,0,-1,-1,-1,0,1,0
11,7,3,0,0,13,-1,-1,-1,-1,-1,-1,-1,1,0,0
11,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,8,1,0,0,9,0,1,0,0,-1,-1,-1,0,1,0
11,8,2,0,0,7,1,0,0,0,0,1,0,1,0,0
11,8,3,1,0,7,0,0,0,1,0,1,0,-1,-1,-1
11,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,9,1,0,0,13,0,0,1,0,1,0,0,0,1,0
11,9,2,0,0,15,0,0,1,0,1,0,0,1,0,0
11,9,3,1,0,7,0,1,0,0,1,0,0,-1,-1,-1
11,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,10,1,0,0,9,1,0,0,0,0,0,1,0,0,1
11,10,2,1,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,10,3,0,0,15,0,0,0,1,0,1,0,0,1,0
11,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,11,1,1,0,13,0,1,0,0,0,1,0,0,0,1
11,11,2,0,0,15,-1,-1,-1,-1,0,0,1,0,1,0
11,11,3,0,0,11,1,0,0,0,-1,-1,-1,1,0,0
11,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
11,12,1,0,0,11,0,0,1,0,0,0,1,0,0,1
11,12,2,0,0,9,0,0,1,0,0,1,0,1,0,0
11,12,3,1,0,11,0,0,0,1,1,0,0,-1,-1,-1
11,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,0,15,1,0,0,0,0,0,1,0,0,1
12,1,2,0,0,13,0,0,0,1,1,0,0,0,1,0
12,1,3,0,0,9,-1,-1,-1,-1,-1,-1,-1,1,0,0
12,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,1,0,0,7,0,0,1,0,-1,-1,-1,1,0,0
12,2,2,0,0,9,0,1,0,0,0,1,0,-1,-1,-1
12,2,3,1,0,7,0,1,0,0,1,0,0,0,0,1
12,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,3,1,1,0,11,0,0,0,1,-1,-1,-1,-1,-1,-1
12,3,2,0,0,15,-1,-1,-1,-1,1,0,0,1,0,0
12,3,3,0,0,13,1,0,0,0,0,1,0,0,1,0
12,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,4,1,1,0,11,0,0,1,0,0,0,1,-1,-1,-1
12,4,2,0,0,15,-1,-1,-1,-1,0,1,0,0,1,0
12,4,3,0,0,13,0,0,0,1,-1,-1,-1,0,0,1
12,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,5,1,0,0,7,1,0,0,0,0,0,1,1,0,0
12,5,2,1,0,9,0,1,0,0,1,0,0,0,0,1
12,5,3,0,0,11,0,1,0,0,0,0,1,0,1,0
12,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,6,1,1,0,7,1,0,0,0,0,1,0,-1,-1,-1
12,6,2,0,0,15,0,0,1,0,-1,-1,-1,0,0,1
12,6,3,0,0,13,-1,-1,-1,-1,0,1,0,1,0,0
12,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,7,1,0,0,11,0,1,0,0,0,1,0,1,0,0
12,7,2,1,0,7,0,0,1,0,0,0,1,-1,-1,-1
12,7,3,0,0,9,0,0,0,1,1,0,0,0,1,0
12,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,8,1,0,0,13,-1,-1,-1,-1,1,0,0,0,1,0
12,8,2,1,0,9,-1,-1,-1,-1,0,0,1,-1,-1,-1
12,8,3,0,0,15,0,0,0,1,-1,-1,-1,0,0,1
12,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,9,1,1,0,7,0,0,1,0,0,0,1,0,1,0
12,9,2,0,0,13,0,1,0,0,1,0,0,-1,-1,-1
12,9,3,0,0,9,1,0,0,0,0,1,0,0,0,1
12,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,10,1,0,0,7,0,0,0,1,-1,-1,-1,1,0,0
12,10,2,1,0,9,-1,-1,-1,-1,-1,-1,-1,0,0,1
12,10,3,0,0,13,1,0,0,0,0,0,1,1,0,0
12,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,11,1,0,0,15,0,1,0,0,1,0,0,-1,-1,-1
12,11,2,0,0,15,0,0,1,0,-1,-1,-1,0,1,0
12,11,3,1,0,11,1,0,0,0,0,1,0,-1,-1,-1
12,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0
12,12,1,1,0,9,0,1,0,0,0,0,1,0,1,0
12,12,2,0,0,11,0,0,0,1,0,1,0,1,0,0
12,12,3,0,0,15,-1,-1,-1,-1,1,0,0,0,0,1
12,12,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,11,1,0,0,0,-1,-1,-1,-1,-1,-1
14,1,2,1,0,15,0,0,0,1,0,0,1,0,0,1
14,1,3,0,0,7,0,1,0,0,0,1,0,1,0,0
14,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2,1,1,0,13,0,0,1,0,0,1,0,-1,-1,-1
14,2,2,0,0,11,-1,-1,-1,-1,0,0,1,0,1,0
14,2,3,0,0,9,1,0,0,0,1,0,0,1,0,0
14,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,3,1,1,0,11,0,1,0,0,1,0,0,0,0,1
14,3,2,0,0,9,1,0,0,0,-1,-1,-1,0,1,0
14,3,3,0,0,7,-1,-1,-1,-1,1,0,0,0,1,0
14,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,4,1,0,0,13,0,0,0,1,-1,-1,-1,0,0,1
14,4,2,1,0,9,0,0,0,1,0,1,0,-1,-1,-1
14,4,3,0,0,15,0,0,1,0,0,0,1,1,0,0
14,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,5,1,0,0,7,0,1,0,0,0,1,0,0,1,0
14,5,2,0,0,9,0,0,1,0,-1,-1,-1,0,0,1
14,5,3,1,0,15,1,0,0,0,1,0,0,-1,-1,-1
14,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,6,1,0,0,11,1,0,0,0,-1,-1,-1,1,0,0
14,6,2,1,0,13,-1,-1,-1,-1,0,0,1,-1,-1,-1
14,6,3,0,0,13,0,1,0,0,0,0,1,1,0,0
14,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,7,1,1,0,7,-1,-1,-1,-1,0,1,0,-1,-1,-1
14,7,2,0,0,15,0,0,0,1,0,1,0,0,0,1
14,7,3,0,0,11,0,0,0,1,1,0,0,0,1,0
14,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0
14,8,1,0,0,11,0,0,1,0,-1,-1,-1,1,0,0
14,8,2,1,0,13,0,1,0,0,0,0,1,0,0,1
14,8,3,0,0,7,0,0,0,1,1,0,0,1,0,0
